,Audio file name,Iterations,Tracks,Correlations,Tracks removed
84,alb_se7,initial iteration,"['Piano right', 'Piano left']","[0.609, 0.433]",['Piano right']
85,alb_se7,iteration1,['Piano left'],[1.0],['Piano left']
86,alb_se7,iteration2,[],[],[None]
87,alb_se7,iteration3,[],[],[None]
88,alb_se6,initial iteration,"['Piano right', 'Piano left']","[0.364, 0.32]",['Piano right']
89,alb_se6,iteration1,['Piano left'],[1.0],['Piano left']
90,alb_se6,iteration2,[],[],[None]
91,alb_se6,iteration3,[],[],[None]
92,alb_esp1,initial iteration,"['Piano right', 'Piano left']","[0.412, 0.789]",['Piano left']
93,alb_esp1,iteration1,['Piano right'],[1.0],['Piano right']
94,alb_esp1,iteration2,[],[],[None]
95,alb_esp1,iteration3,[],[],[None]
96,alb_esp5,initial iteration,"['Piano right', 'Piano left']","[0.916, -0.17]",['Piano right']
97,alb_esp5,iteration1,['Piano left'],[1.0],['Piano left']
98,alb_esp5,iteration2,[],[],[None]
99,alb_esp5,iteration3,[],[],[None]
100,alb_se2,initial iteration,"['Piano right', 'Piano left']","[0.748, 0.48]",['Piano right']
101,alb_se2,iteration1,['Piano left'],[1.0],['Piano left']
102,alb_se2,iteration2,[],[],[None]
103,alb_se2,iteration3,[],[],[None]
104,alb_se3,initial iteration,"['Piano right', 'Piano left']","[0.739, -0.025]",['Piano right']
105,alb_se3,iteration1,['Piano left'],[1.0],['Piano left']
106,alb_se3,iteration2,[],[],[None]
107,alb_se3,iteration3,[],[],[None]
108,alb_esp4,initial iteration,"['Piano right', 'Piano left']","[0.848, 0.297]",['Piano right']
109,alb_esp4,iteration1,['Piano left'],[1.0],['Piano left']
110,alb_esp4,iteration2,[],[],[None]
111,alb_esp4,iteration3,[],[],[None]
112,alb_esp6,initial iteration,"['Piano right', 'Piano left']","[0.513, 0.334]",['Piano right']
113,alb_esp6,iteration1,['Piano left'],[1.0],['Piano left']
114,alb_esp6,iteration2,[],[],[None]
115,alb_esp6,iteration3,[],[],[None]
116,alb_se1,initial iteration,"['Piano right', 'Piano left']","[0.722, 0.008]",['Piano right']
117,alb_se1,iteration1,['Piano left'],[1.0],['Piano left']
118,alb_se1,iteration2,[],[],[None]
119,alb_se1,iteration3,[],[],[None]
